Product Name,Description,Faceveneer,Thickness (mm),Core Material,Glue,Weight/Board,Chemical Dipping,Film Face Color,Film Face GSM,Wire Mesh,Grade,Length (ft),Breadth (ft),Rate/SqFt
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Okoume,6,,,,False,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,32
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Okoume,6,,,,True,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,33.5
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Okoume,8,,,,False,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,39
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Okoume,8,,,,True,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,40.5
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Okoume,12,,,,False,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,43
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Okoume,12,,,,True,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,44.5
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Okoume,16,,,,False,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,52
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Okoume,16,,,,True,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,53.5
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Okoume,18,,,,False,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,53
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Okoume,18,,,,True,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,54.5
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,6,,,,False,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,32
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,6,,,,True,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,33.5
Alternate Plywood,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",Gurjan,8,,,,False,,,,"MR (Moisture Resistant), BWR (Boiling Water Resistant)",,,39
